id,name,company,ticker,exchange,isPublic,lat,lng,country,region,stage,ozMeasuredIndicated,ozInferred,gradeGpt,depositType,studyType,npvAfterTaxUsd,npvDiscountRate,goldPriceAssumption,irrPct,capexUsd,aiscPerOz,mineLifeYears,annualProductionOz,ownershipPct,jvPartners,sourceName,sourceUrl,sourceDate
detour-lake-canada,Detour Lake,Agnico Eagle Mines Limited,AEM,NYSE,true,50.0146,-79.727,Canada,,Production,18575000,,0.82,,,,,,,,,,692675,,,"Agnico Eagle Form 6-K, mineral reserves exhibit",https://www.sec.gov/Archives/edgar/data/2809/000110465926014451/aem-20251231xex99d5.htm,2025-12-31
lihir-papua-new-guinea,Lihir,Newmont Corporation,NEM,NYSE,true,-3.1319,152.6414,Papua New Guinea,,Production,15900000,,2.33,,,,,,,,,,585000,,,Newmont 2025 Mineral Reserves news release,https://www.newmont.com/investors/news-release/news-details/2026/Newmont-Reports-2025-Mineral-Reserves-of-118-2-Million-Gold-Ounces-and-12-5-Million-Tonnes-of-Copper/default.aspx,2025-12-31
cadia-australia,Cadia,Newmont Corporation,NEM,NYSE,true,-33.467,148.993,Australia,,Production,13500000,,0.42,,,,,,,,,,385000,,,Newmont 2025 Mineral Reserves news release,https://www.newmont.com/investors/news-release/news-details/2026/Newmont-Reports-2025-Mineral-Reserves-of-118-2-Million-Gold-Ounces-and-12-5-Million-Tonnes-of-Copper/default.aspx,2025-12-31
reko-diq-pakistan,Reko Diq,Barrick Mining Corporation,B,NYSE,true,28.9725,62.4331,Pakistan,,PFS,13000000,,0.28,,,,,,,,,,,50.0,Barrick 50% / Government of Pakistan and provincial interests 50%,Barrick Mineral Reserves and Resources disclosure,https://www.barrick.com/English/operations/mineral-reserves-and-resources/,2025-12-31
pueblo-viejo-dominican-republic,Pueblo Viejo,Barrick Mining Corporation,B,NYSE,true,18.9396,-70.1753,Dominican Republic,,Production,12000000,,2.06,,,,,,,,,,633000,60.0,Barrick 60% / Newmont 40%,Barrick Mineral Reserves and Resources disclosure,https://www.barrick.com/English/operations/mineral-reserves-and-resources/,2025-12-31
boddington-australia,Boddington,Newmont Corporation,NEM,NYSE,true,-32.7519,116.35,Australia,,Production,10200000,,0.59,,,,,,,,,,565000,,,Newmont 2025 Mineral Reserves news release,https://www.newmont.com/investors/news-release/news-details/2026/Newmont-Reports-2025-Mineral-Reserves-of-118-2-Million-Gold-Ounces-and-12-5-Million-Tonnes-of-Copper/default.aspx,2025-12-31
turquoise-ridge-united-states,Turquoise Ridge,Barrick Mining Corporation,B,NYSE,true,41.2176,-117.2548,United States,,Production,8900000,,6.07,,,,,,,,,,,61.5,Nevada Gold Mines: Barrick 61.5% / Newmont 38.5%,Barrick Mineral Reserves and Resources disclosure,https://www.barrick.com/English/operations/mineral-reserves-and-resources/,2025-12-31
cortez-united-states,Cortez,Barrick Mining Corporation,B,NYSE,true,40.2458,-116.7111,United States,,Production,7900000,,2.75,,,,,,,,,,,61.5,Nevada Gold Mines: Barrick 61.5% / Newmont 38.5%,Barrick Mineral Reserves and Resources disclosure,https://www.barrick.com/English/operations/mineral-reserves-and-resources/,2025-12-31
tanami-australia,Tanami,Newmont Corporation,NEM,NYSE,true,-20.5391,130.3119,Australia,,Production,5300000,,5.03,,,,,,,,,,391000,,,Newmont 2025 Mineral Reserves news release,https://www.newmont.com/investors/news-release/news-details/2026/Newmont-Reports-2025-Mineral-Reserves-of-118-2-Million-Gold-Ounces-and-12-5-Million-Tonnes-of-Copper/default.aspx,2025-12-31
wafi-golpu-papua-new-guinea,Wafi-Golpu,Newmont Corporation,NEM,NYSE,true,-6.9679,146.4248,Papua New Guinea,,PFS,5100000,,0.82,,,,,,,,,,,,,Newmont 2025 Mineral Reserves news release,https://www.newmont.com/investors/news-release/news-details/2026/Newmont-Reports-2025-Mineral-Reserves-of-118-2-Million-Gold-Ounces-and-12-5-Million-Tonnes-of-Copper/default.aspx,2025-12-31
kibali-democratic-republic-of-the-congo,Kibali,Barrick Mining Corporation,B,NYSE,true,3.1127,29.5847,Democratic Republic of the Congo,,Production,4800000,,2.97,,,,,,,,,,,45.0,Barrick 45% / AngloGold Ashanti 45% / SOKIMO 10%,Barrick Mineral Reserves and Resources disclosure,https://www.barrick.com/English/operations/mineral-reserves-and-resources/,2025-12-31
bulyanhulu-tanzania,Bulyanhulu,Barrick Mining Corporation,B,NYSE,true,-3.2333,32.4833,Tanzania,,Production,3800000,,6.98,,,,,,,,,,,84.0,,Barrick Mineral Reserves and Resources disclosure,https://www.barrick.com/English/operations/mineral-reserves-and-resources/,2025-12-31
meliadine-canada,Meliadine,Agnico Eagle Mines Limited,AEM,NYSE,true,63.0307,-92.2192,Canada,,Production,3622000,,5.1,,,,,,,,,,376346,,,"Agnico Eagle Form 6-K, mineral reserves exhibit",https://www.sec.gov/Archives/edgar/data/2809/000110465926014451/aem-20251231xex99d5.htm,2025-12-31
red-chris-canada,Red Chris,Newmont Corporation,NEM,NYSE,true,57.7208,-129.7783,Canada,,Production,3600000,,0.62,,,,,,,,,,62000,,,Newmont 2025 Mineral Reserves news release,https://www.newmont.com/investors/news-release/news-details/2026/Newmont-Reports-2025-Mineral-Reserves-of-118-2-Million-Gold-Ounces-and-12-5-Million-Tonnes-of-Copper/default.aspx,2025-12-31
hope-bay-canada,Hope Bay,Agnico Eagle Mines Limited,AEM,NYSE,true,68.1375,-106.6094,Canada,,PFS,3396000,,6.53,,,,,,,,,,,,,"Agnico Eagle Form 6-K, mineral reserves exhibit",https://www.sec.gov/Archives/edgar/data/2809/000110465926014451/aem-20251231xex99d5.htm,2025-12-31
